ID,contest_id,contest_name,contest_url,is_exam,is_contest_status,regist_start_time,regist_end_time,contest_start_time,contest_end_time,thumb_pic,level_name,organiser,organiser_name,enter_range,contest_class_first,contest_class_second,contest_class_second_id,time_status,time_name,ranking,is_new,module
43,52325,第二届大学生高校物理挑战赛,vse/ZJWSPH2025,0,1,1734919200,1744462800,1743210000,1743260400,https://publicqn.saikr.com/2025/03/28/contest67e62284b52da0.178918841743135387731.png,全国性,中国智慧工程研究会职业教育专业委员会,主办方,全国,1002,physics,17,23,比赛结束,19,0,0
44,53011,第二届大学生办公软件技能大赛-Word、Excel、PowerPoint竞赛,vse/ZJWSOS25,0,1,1736305200,1744981200,1736816400,1744988400,https://publicqn.saikr.com/2025/03/18/contest67d92b5d15e605.303703891742285673969.png,全国性,中国智慧工程研究会职业教育专业委员会,主办方,全国,1004,occupation,28,22,比赛进行中,15,0,0
45,51494,《我爱北京》 2025全球征稿活动,vse/51494,0,3,1729699200,1748707199,1748707200,1756655999,https://publicqn.saikr.com/contest/thmub/cropper/upload/1729562345585images.png,全球性,首都精神文明建设委员会办公室 等,主办方,全国,1004,society,29,12,正在报名,40,0,0
46,53470,春耕图韵，共绘希望田野 —— 《中国农民合作社》春耕图片征集,vse/53470,0,0,1740585600,1745942400,0,0,,全国性,《中国农民合作社》编辑部,主办方,全国,1005,art_assessment,36,12,正在报名,0,0,0
47,53401,【初赛客观题】2025年“开发者”算法编程挑战赛,vse/KFZ/2025/TZS,0,1,1739980800,1743321600,1739980800,1743177599,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740018517281images.png,全国性,湖北省计算机信息系统集成协会,主办方,全国,1001,computer,6,23,比赛结束,45,0,0
48,52314,【双创作品|本周截止提交】2024年第四届全国大学生物联网创新挑战赛,vse/24WUL,0,1,1734192000,1743325200,1742572800,1742724000,https://publicqn.saikr.com/contest/thmub/cropper/upload/1733999216908images.png,全国性,中国物联网产教融合联盟 等,主办方,全国,1001,big_data,34,23,比赛结束,32,0,0
49,53044,“模塑申城杯·人工智能+竞赛”人工智能训练师赛项,vse/53044,0,2,1736352000,1743350400,0,0,,省级,上海市人工智能行业协会 等,主办方,上海,1004,occupation,28,22,比赛进行中,0,0,0
50,53046,“模塑申城杯·人工智能+竞赛”青少年人工智能体教融合赛项,vse/53046,0,2,1736352000,1743350400,0,0,,省级,上海市人工智能行业协会 等,主办方,上海,1005,sports,32,22,比赛进行中,0,0,0
51,53052,2025年“颂情意”全国大学生“三行情书”征稿大赛,vse/shqs2025,0,1,1736352000,1743350400,1736438400,1743350400,https://publicqn.saikr.com/contest/thmub/cropper/upload/1736414194331images.png,其他,天津礼仪行业协会,主办方,全国,1004,society,29,22,比赛进行中,34,0,0
52,53460,2025年中国城商联外研分会年会暨学术交流研讨会,vse/wyfh2025,0,1,1740463200,1743415200,1744851600,1745143200,,全国性,中国城商联外研分会,主办方,全国,1004,society,29,12,正在报名,0,0,0
